pathway,n_genes_pathway,n_genes_found,mean_rank,median_rank,pvalue,u_statistic,fdr_q
Ventricular Cardiac Muscle Cell Action Potential (GO:0086005),17,1,3108.0,3108.0,0.7880324543610527,3107.0,0.9340782662305417
Regulation Of Sodium Ion Transmembrane Transport (GO:1902305),28,1,3108.0,3108.0,0.7880324543610527,3107.0,0.9340782662305417
Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000649),37,1,3108.0,3108.0,0.7880324543610527,3107.0,0.9340782662305417
Positive Regulation Of Heart Contraction (GO:0045823),21,1,3108.0,3108.0,0.7880324543610527,3107.0,0.9340782662305417
Positive Regulation Of Sodium Ion Transport (GO:0010765),12,1,3108.0,3108.0,0.7880324543610527,3107.0,0.9340782662305417
Negative Regulation Of Locomotion (GO:0040013),12,3,2521.0,2314.0,0.788837838599865,7557.0,0.9341231072174423
Regulation Of Transcription By RNA Polymerase I (GO:0006356),32,4,2443.75,2426.0,0.7889103058441935,9765.0,0.9341231072174423
Regulation Of Fatty Acid Metabolic Process (GO:0019217),11,1,3113.0,3113.0,0.7893002028397545,3112.0,0.9341231072174423
Negative Regulation Of Fatty Acid Metabolic Process (GO:0045922),19,1,3113.0,3113.0,0.7893002028397545,3112.0,0.9341231072174423
Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),207,16,2201.75,2081.5,0.7901862306788794,35092.0,0.9348075423685497
Toll-Like Receptor Signaling Pathway (GO:0002224),31,2,2669.5,2669.5,0.7910963995557382,5336.0,0.9353698517820908
Regulation Of Epithelial Cell Proliferation (GO:0050678),91,4,2448.5,2625.5,0.7912773268861004,9784.0,0.9353698517820908
Regulation Of Establishment Of Cell Polarity (GO:2000114),17,2,2675.5,2675.5,0.7930586928641868,5348.0,0.9361417150780209
Regulation Of Establishment Or Maintenance Of Cell Polarity (GO:0032878),18,2,2675.5,2675.5,0.7930586928641868,5348.0,0.9361417150780209
Negative Regulation Of Protein Localization To Membrane (GO:1905476),25,2,2676.0,2676.0,0.7932217671802907,5349.0,0.9361417150780209
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),232,20,2180.85,2124.5,0.7940261700727813,43407.0,0.9361417150780209
Regulation Of Mitochondrial Fission (GO:0090140),27,2,2679.5,2679.5,0.7943617441029601,5356.0,0.9361417150780209
Negative Regulation Of Lipid Metabolic Process (GO:0045833),26,3,2534.3333333333335,3113.0,0.7946351253891425,7597.0,0.9361417150780209
Cellular Response To Acid Chemical (GO:0071229),27,2,2681.0,2681.0,0.7948492951537092,5359.0,0.9361417150780209
Regulation Of Ossification (GO:0030278),37,8,2308.625,2144.5,0.7949106434489667,18433.0,0.9361417150780209
Cortical Cytoskeleton Organization (GO:0030865),27,2,2681.5,2681.5,0.795011726432289,5360.0,0.9361417150780209
Cortical Actin Cytoskeleton Organization (GO:0030866),19,2,2681.5,2681.5,0.795011726432289,5360.0,0.9361417150780209
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),319,28,2149.5714285714284,2409.5,0.7955639869134836,59782.0,0.9364290554990947
RNA Modification (GO:0009451),51,3,2540.3333333333335,2146.0,0.7972153163907133,7615.0,0.9377641075519224
Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436),83,4,2460.75,2289.5,0.7973155660982935,9833.0,0.9377641075519224
Negative Regulation Of Protein Secretion (GO:0050709),39,4,2462.75,2470.0,0.7982922932056081,9841.0,0.9385495304793489
Regulation Of Epithelial Cell Migration (GO:0010632),50,6,2369.1666666666665,2617.0,0.7988036538341576,14194.0,0.9387874276008398
Histone H4 Acetylation (GO:0043967),39,7,2339.4285714285716,3040.0,0.7993245844583444,16348.0,0.9390333503603727
Negative Regulation Of ERK1 And ERK2 Cascade (GO:0070373),48,4,2465.5,2103.0,0.7996310985458474,9852.0,0.9390333503603727
Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573),14,1,3156.0,3156.0,0.8002028397565907,3155.0,0.9392552204158238
Negative Regulation Of Protein Binding (GO:0032091),71,6,2373.0,2332.5,0.8010963693597712,14217.0,0.9392552204158238
L-alpha-amino Acid Transmembrane Transport (GO:1902475),40,3,2551.3333333333335,2898.0,0.8018987478705214,7648.0,0.9392552204158238
Negative Regulation Of Protein Catabolic Process (GO:0042177),54,2,2704.5,2704.5,0.8024125739043027,5406.0,0.9392552204158238
Cardiac Muscle Tissue Morphogenesis (GO:0055008),31,1,3165.0,3165.0,0.802484787018254,3164.0,0.9392552204158238
Ventricular Cardiac Muscle Tissue Development (GO:0003229),25,1,3165.0,3165.0,0.802484787018254,3164.0,0.9392552204158238
Protein Modification By Small Protein Conjugation (GO:0032446),364,23,2174.2608695652175,2333.0,0.8029891883251719,49732.0,0.9392552204158238
Regulation Of Histone H3-K4 Methylation (GO:0051569),14,2,2707.5,2707.5,0.8033678704500593,5412.0,0.9392552204158238
Positive Regulation Of Histone H3-K4 Methylation (GO:0051571),12,2,2707.5,2707.5,0.8033678704500593,5412.0,0.9392552204158238
Dendrite Self-Avoidance (GO:0070593),12,3,2555.6666666666665,2142.0,0.8037268568651633,7661.0,0.9392552204158238
Positive Regulation Of DNA Replication (GO:0045740),18,5,2418.2,2479.0,0.8039055203247086,12076.0,0.9392552204158238
Regulation Of Amyloid-Beta Clearance (GO:1900221),15,3,2556.6666666666665,2613.0,0.8041473605367361,7664.0,0.9392552204158238
Protein Localization To Vacuole (GO:0072665),14,2,2710.0,2710.0,0.8041621503997892,5417.0,0.9392552204158238
Protein Localization To Lysosome (GO:0061462),41,2,2710.0,2710.0,0.8041621503997892,5417.0,0.9392552204158238
Lipid Droplet Formation (GO:0140042),12,1,3173.0,3173.0,0.804513184584177,3172.0,0.9392552204158238
Regulation Of Acrosome Reaction (GO:0060046),12,1,3174.0,3174.0,0.8047667342799174,3173.0,0.9392552204158238
Mitochondrial Membrane Organization (GO:0007006),32,5,2421.2,2705.0,0.8055176689697527,12091.0,0.9393383586949656
Positive Regulation Of Notch Signaling Pathway (GO:0045747),33,3,2560.6666666666665,2209.0,0.805824219177857,7676.0,0.9393383586949656
Regulation Of Mitotic Nuclear Division (GO:0007088),56,6,2381.3333333333335,2576.0,0.8060286998941406,14267.0,0.9393383586949656
Response To UV-B (GO:0010224),16,3,2561.6666666666665,2273.0,0.8062421404224782,7679.0,0.9393383586949656
tRNA Aminoacylation For Protein Translation (GO:0006418),35,2,2718.0,2718.0,0.8066931460945245,5433.0,0.9393383586949656
tRNA Aminoacylation (GO:0043039),22,2,2718.0,2718.0,0.8066931460945245,5433.0,0.9393383586949656
Regulation Of Cell Adhesion (GO:0030155),144,15,2228.3333333333335,2209.0,0.80837881180968,33305.0,0.9398931710615266
Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),18,1,3190.0,3190.0,0.8088235294117634,3189.0,0.9398931710615266
Protein Localization To Membrane (GO:0072657),192,18,2207.0,2123.0,0.8094402486405785,39555.0,0.9398931710615266
Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288),71,8,2330.375,2144.5,0.8098554705897727,18607.0,0.9398931710615266
Protein Targeting To Peroxisome (GO:0006625),16,3,2571.6666666666665,3450.0,0.8103926554840248,7709.0,0.9398931710615266
COPII-coated Vesicle Budding (GO:0090114),36,3,2572.0,2113.0,0.8105301016717379,7710.0,0.9398931710615266
G Protein-Coupled Glutamate Receptor Signaling Pathway (GO:0007216),12,3,2573.6666666666665,2520.0,0.8112164514433583,7715.0,0.9398931710615266
Negative Regulation Of Type II Interferon Production (GO:0032689),28,2,2734.5,2734.5,0.8118613672829709,5466.0,0.9398931710615266
Intestinal Absorption (GO:0050892),11,1,3203.0,3203.0,0.8121196754563882,3202.0,0.9398931710615266
Regulation Of Vasculature Development (GO:1901342),30,1,3203.0,3203.0,0.8121196754563882,3202.0,0.9398931710615266
Signal Release (GO:0023061),10,1,3203.0,3203.0,0.8121196754563882,3202.0,0.9398931710615266
Regulation Of Natural Killer Cell Activation (GO:0032814),16,1,3203.0,3203.0,0.8121196754563882,3202.0,0.9398931710615266
Regulation Of Brown Fat Cell Differentiation (GO:0090335),17,1,3203.0,3203.0,0.8121196754563882,3202.0,0.9398931710615266
Regulation Of Lymphocyte Proliferation (GO:0050670),18,1,3203.0,3203.0,0.8121196754563882,3202.0,0.9398931710615266
Regulation Of Lymphocyte Activation (GO:0051249),18,1,3203.0,3203.0,0.8121196754563882,3202.0,0.9398931710615266
Positive Regulation Of TOR Signaling (GO:0032008),47,1,3203.0,3203.0,0.8121196754563882,3202.0,0.9398931710615266
Sensory Perception Of Light Stimulus (GO:0050953),102,6,2395.5,2414.0,0.8142495017359825,14352.0,0.9413342969960117
Glutamate Receptor Signaling Pathway (GO:0007215),35,5,2439.6,2446.0,0.8152377936755886,12183.0,0.9413342969960117
Negative Regulation Of Calcium Ion Transmembrane Transport (GO:1903170),19,2,2746.5,2746.5,0.8155760664520121,5490.0,0.9413342969960117
Negative Regulation Of Potassium Ion Transport (GO:0043267),12,2,2746.5,2746.5,0.8155760664520121,5490.0,0.9413342969960117
Positive Regulation Of Developmental Process (GO:0051094),233,18,2213.3888888888887,2152.0,0.8158585767664943,39670.0,0.9413342969960117
Regulation Of p38MAPK Cascade (GO:1900744),37,2,2747.5,2747.5,0.8158839528185363,5492.0,0.9413342969960117
Positive Regulation Of p38MAPK Cascade (GO:1900745),24,2,2747.5,2747.5,0.8158839528185363,5492.0,0.9413342969960117
Receptor Signaling Pathway Via JAK-STAT (GO:0007259),36,4,2500.25,2477.0,0.8161260022297862,9991.0,0.9413342969960117
Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263),85,6,2398.8333333333335,2533.5,0.8161535675732372,14372.0,0.9413342969960117
Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943),34,4,2502.25,2426.0,0.8170512804155992,9999.0,0.9420120644791613
Calcium-Mediated Signaling (GO:0019722),85,9,2316.6666666666665,2613.0,0.8180438014623406,20805.0,0.9423690498072037
Response To X-ray (GO:0010165),11,1,3227.0,3227.0,0.8182048681541572,3226.0,0.9423690498072037
Fatty Acid Elongation (GO:0030497),12,1,3229.0,3229.0,0.8187119675456379,3228.0,0.9423690498072037
Very Long-Chain Fatty Acid Biosynthetic Process (GO:0042761),12,1,3229.0,3229.0,0.8187119675456379,3228.0,0.9423690498072037
Regulation Of DNA Damage Checkpoint (GO:2000001),18,4,2506.75,2794.5,0.8191234911457873,10017.0,0.9423690498072037
Cilium Organization (GO:0044782),228,12,2271.9166666666665,2568.5,0.819222073910739,27185.0,0.9423690498072037
Negative Regulation Of Ion Transmembrane Transporter Activity (GO:0032413),24,3,2598.0,2898.0,0.8210674918067803,7788.0,0.9441343830844052
Peptide Metabolic Process (GO:0006518),56,9,2321.8888888888887,2496.0,0.8216599835521088,20852.0,0.9441796865205829
Nucleotide Biosynthetic Process (GO:0009165),19,2,2768.5,2768.5,0.8222901498483203,5534.0,0.9441796865205829
Positive Regulation Of Cytokinesis (GO:0032467),39,4,2514.25,2508.5,0.8225473541563391,10047.0,0.9441796865205829
Positive Regulation Of Cell Division (GO:0051781),43,4,2514.25,2508.5,0.8225473541563391,10047.0,0.9441796865205829
Positive Regulation Of Fibroblast Proliferation (GO:0048146),28,4,2514.5,2949.0,0.8226608394404157,10048.0,0.9441796865205829
Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052),31,2,2773.5,2773.5,0.8237987158797858,5544.0,0.9451285871762799
Striated Muscle Contraction (GO:0006941),57,7,2380.714285714286,3047.0,0.8250407730955682,16637.0,0.9455350809733846
Regulation Of Sprouting Angiogenesis (GO:1903670),33,3,2608.3333333333335,2806.0,0.8251528325194548,7819.0,0.9455350809733846
Amyloid Fibril Formation (GO:1990000),24,2,2778.5,2778.5,0.825300851536011,5554.0,0.9455350809733846
RNA-mediated Gene Silencing (GO:0031047),29,3,2609.0,2765.0,0.8254143591103625,7821.0,0.9455350809733846
Regulation Of Nitric-Oxide Synthase Activity (GO:0050999),28,4,2521.25,3004.5,0.8257092066564811,10075.0,0.9455350809733846
Defense Response To Virus (GO:0051607),189,12,2281.6666666666665,2092.0,0.8269321505187857,27302.0,0.9460598979474886
Regulation Of Alcohol Biosynthetic Process (GO:1902930),11,3,2613.3333333333335,2577.0,0.8271081946272427,7834.0,0.9460598979474886
Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),175,16,2240.6875,2124.5,0.8274476718837859,35715.0,0.9460598979474886
Regulation Of Potassium Ion Transport (GO:0043266),30,3,2614.3333333333335,2446.0,0.8274975766528979,7837.0,0.9460598979474886
Female Gamete Generation (GO:0007292),32,4,2525.75,2696.0,0.8277245585070522,10093.0,0.9460598979474886
Protein Autoubiquitination (GO:0051865),71,8,2361.125,2386.5,0.8298496116987315,18853.0,0.9477541821497979
Visual Perception (GO:0007601),101,7,2389.285714285714,2405.0,0.8301169720496305,16697.0,0.9477541821497979
Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),115,6,2426.6666666666665,2485.5,0.8315984878170612,14539.0,0.9477541821497979
Cellular Response To Unfolded Protein (GO:0034620),17,2,2803.0,2803.0,0.8325683330255327,5603.0,0.9477541821497979
Insulin Receptor Signaling Pathway (GO:0008286),47,2,2803.0,2803.0,0.8325683330255327,5603.0,0.9477541821497979
Cellular Response To Topologically Incorrect Protein (GO:0035967),22,2,2803.0,2803.0,0.8325683330255327,5603.0,0.9477541821497979
Multivesicular Body Assembly (GO:0036258),29,2,2804.0,2804.0,0.832861686744013,5605.0,0.9477541821497979
Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway (GO:0043162),33,2,2804.0,2804.0,0.832861686744013,5605.0,0.9477541821497979
Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway (GO:0032511),25,2,2804.0,2804.0,0.832861686744013,5605.0,0.9477541821497979
Multivesicular Body Organization (GO:0036257),30,2,2804.0,2804.0,0.832861686744013,5605.0,0.9477541821497979
Protein Transport To Vacuole Involved In Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway (GO:0043328),14,2,2804.0,2804.0,0.832861686744013,5605.0,0.9477541821497979
Lymphocyte Differentiation (GO:0030098),91,6,2429.6666666666665,2593.0,0.833214509145533,14557.0,0.9477541821497979
Positive Regulation Of Developmental Growth (GO:0048639),50,4,2539.5,2705.0,0.833798496788294,10148.0,0.9477541821497979
Positive Regulation Of Histone Methylation (GO:0031062),19,3,2631.3333333333335,2479.0,0.8340298289059863,7888.0,0.9477541821497979
Intracellular pH Reduction (GO:0051452),32,3,2632.0,2817.0,0.8342826074460719,7890.0,0.9477541821497979
Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034),88,9,2341.6666666666665,2669.0,0.8349410411909165,21030.0,0.9477541821497979
Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010),28,4,2542.5,2327.5,0.83510682748967,10160.0,0.9477541821497979
Regulation Of cAMP-mediated Signaling (GO:0043949),18,4,2542.75,2746.5,0.8352155812262204,10161.0,0.9477541821497979
Positive Regulation By Host Of Viral Process (GO:0044794),17,1,3295.0,3295.0,0.8354462474645026,3294.0,0.9477541821497979
Modulation By Host Of Viral Process (GO:0044788),22,1,3295.0,3295.0,0.8354462474645026,3294.0,0.9477541821497979
Negative Regulation Of RNA Splicing (GO:0033119),19,2,2817.5,2817.5,0.836796819176305,5632.0,0.948068081802959
Negative Regulation Of Myeloid Cell Differentiation (GO:0045638),22,2,2819.0,2819.0,0.8372311267200612,5635.0,0.948068081802959
Microtubule Depolymerization (GO:0007019),17,6,2438.3333333333335,2551.0,0.837829486306398,14609.0,0.948068081802959
Protein Depolymerization (GO:0051261),28,6,2438.3333333333335,2551.0,0.837829486306398,14609.0,0.948068081802959
"Maturation Of 5.8S rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",21,2,2823.0,2823.0,0.8383865365433081,5643.0,0.948068081802959
Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),81,7,2405.1428571428573,2527.0,0.8392670245833286,16808.0,0.948068081802959
Protein Localization To Cilium (GO:0061512),40,4,2552.25,2888.0,0.8393169568479545,10199.0,0.948068081802959
Negative Regulation Of Response To External Stimulus (GO:0032102),146,11,2312.7272727272725,2314.0,0.8395221101695503,25374.0,0.948068081802959
Axonogenesis (GO:0007409),188,17,2246.1176470588234,2195.0,0.8396465077880919,38031.0,0.948068081802959
Protein Dephosphorylation (GO:0006470),124,15,2264.5333333333333,1994.0,0.8402046575716553,33848.0,0.948068081802959
"Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)",51,4,2555.0,2401.5,0.840492807284826,10210.0,0.948068081802959
Cristae Formation (GO:0042407),12,2,2831.0,2831.0,0.8406850098693399,5659.0,0.948068081802959
Regulation Of Synapse Maturation (GO:0090128),10,2,2836.5,2836.5,0.8422556933256307,5670.0,0.948068081802959
Cellular Response To Glucose Stimulus (GO:0071333),34,1,3322.0,3322.0,0.8422920892494927,3321.0,0.948068081802959
Cellular Response To Acidic pH (GO:0071468),12,1,3322.0,3322.0,0.8422920892494927,3321.0,0.948068081802959
Regulation Of Protein Localization To Cajal Body (GO:1904869),10,1,3324.0,3324.0,0.8427991886409735,3323.0,0.948068081802959
Positive Regulation Of Establishment Of Protein Localization (GO:1904951),18,1,3324.0,3324.0,0.8427991886409735,3323.0,0.948068081802959
Positive Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904874),14,1,3324.0,3324.0,0.8427991886409735,3323.0,0.948068081802959
Regulation Of Establishment Of Protein Localization To Telomere (GO:0070203),10,1,3324.0,3324.0,0.8427991886409735,3323.0,0.948068081802959
"Positive Regulation Of Protein Localization To Chromosome, Telomeric Region (GO:1904816)",11,1,3324.0,3324.0,0.8427991886409735,3323.0,0.948068081802959
Positive Regulation Of Protein Localization To Cajal Body (GO:1904871),10,1,3324.0,3324.0,0.8427991886409735,3323.0,0.948068081802959
Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872),17,1,3324.0,3324.0,0.8427991886409735,3323.0,0.948068081802959
Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971),21,3,2656.0,3036.0,0.8432126257510189,7962.0,0.948068081802959
Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751),24,3,2656.0,3036.0,0.8432126257510189,7962.0,0.948068081802959
Generation Of Neurons (GO:0048699),172,21,2223.6190476190477,2221.0,0.8445696323652421,46465.0,0.9492425242788034
Protein K48-linked Deubiquitination (GO:0071108),24,4,2567.25,2924.5,0.8456683804914992,10259.0,0.9501259393243988
Histone H2A Monoubiquitination (GO:0035518),14,5,2504.0,2783.0,0.8469527590709375,12505.0,0.9512171837550862
Regulation Of Plasma Membrane Bounded Cell Projection Organization (GO:0120035),28,2,2855.0,2855.0,0.8474816592837384,5707.0,0.9514594534013294
Regulation Of Blood Circulation (GO:1903522),34,2,2857.5,2857.5,0.8481811555024207,5712.0,0.9518929997843938
Adrenergic Receptor Signaling Pathway (GO:0071875),18,5,2508.6,2549.0,0.8490794955610049,12528.0,0.9525493011500491
Regulation Of Endothelial Cell Proliferation (GO:0001936),93,10,2346.5,2659.5,0.8508557837117967,23410.0,0.9528979633854988
T Cell Differentiation (GO:0030217),46,3,2678.3333333333335,2862.0,0.851228909658222,8029.0,0.9528979633854988
Membrane Fission (GO:0090148),38,5,2513.4,2715.0,0.8512789077305364,12552.0,0.9528979633854988
COPII Vesicle Coating (GO:0048208),19,2,2870.0,2870.0,0.8516543297774215,5737.0,0.9528979633854988
Vesicle Budding From Membrane (GO:0006900),32,2,2870.0,2870.0,0.8516543297774215,5737.0,0.9528979633854988
"Vesicle Targeting, Rough ER To cis-Golgi (GO:0048207)",19,2,2870.0,2870.0,0.8516543297774215,5737.0,0.9528979633854988
Regulation Of Cilium Movement (GO:0003352),11,2,2871.0,2871.0,0.8519304500902567,5739.0,0.9528979633854988
Inorganic Anion Transmembrane Transport (GO:0098661),63,3,2680.3333333333335,3174.0,0.8519331504563588,8035.0,0.9528979633854988
Organic Substance Transport (GO:0071702),201,14,2290.214285714286,2678.0,0.8522132213687953,31958.0,0.9528979633854988
Negative Regulation Of Mitotic Cell Cycle (GO:0045930),34,2,2874.5,2874.5,0.8528948777688553,5746.0,0.9533092857475286
'De Novo' Post-Translational Protein Folding (GO:0051084),32,2,2881.0,2881.0,0.854677506393079,5759.0,0.954599361919917
Chaperone Cofactor-Dependent Protein Refolding (GO:0051085),27,2,2881.0,2881.0,0.854677506393079,5759.0,0.954599361919917
Actin Cytoskeleton Reorganization (GO:0031532),53,6,2473.0,2580.0,0.8554909925898799,14817.0,0.9547932540773137
Defense Response To Symbiont (GO:0140546),148,9,2374.8888888888887,1885.0,0.8557697124606818,21329.0,0.9547932540773137
Microtubule Polymerization Or Depolymerization (GO:0031109),27,7,2435.285714285714,2448.0,0.8557939535393435,17019.0,0.9547932540773137
BMP Signaling Pathway (GO:0030509),61,6,2478.0,2778.0,0.8579326751051275,14847.0,0.9551859018587597
Activation Of Adenylate Cyclase Activity (GO:0007190),20,3,2699.0,2549.0,0.8583991954876693,8091.0,0.9551859018587597
Gastrulation (GO:0007369),19,4,2599.75,2702.5,0.8589041150555864,10389.0,0.9551859018587597
peptidyl-L-cysteine S-palmitoylation (GO:0018230),22,1,3388.0,3388.0,0.8590263691683574,3387.0,0.9551859018587597
peptidyl-S-diacylglycerol-L-cysteine Biosynthetic Process From Peptidyl-Cysteine (GO:0018231),22,1,3388.0,3388.0,0.8590263691683574,3387.0,0.9551859018587597
Regulation Of Establishment Of Endothelial Barrier (GO:1903140),16,1,3388.0,3388.0,0.8590263691683574,3387.0,0.9551859018587597
Regulation Of Filopodium Assembly (GO:0051489),43,5,2531.0,2613.0,0.8591704619804462,12640.0,0.9551859018587597
Positive Regulation Of Reproductive Process (GO:2000243),33,2,2898.0,2898.0,0.8592884712631674,5793.0,0.9551859018587597
Ureteric Bud Development (GO:0001657),18,1,3391.0,3391.0,0.8597870182555785,3390.0,0.9551859018587597
Mesonephric Tubule Development (GO:0072164),16,1,3391.0,3391.0,0.8597870182555785,3390.0,0.9551859018587597
Dorsal/Ventral Pattern Formation (GO:0009953),27,1,3391.0,3391.0,0.8597870182555785,3390.0,0.9551859018587597
Sarcomere Organization (GO:0045214),29,2,2900.5,2900.5,0.8599603168683146,5798.0,0.9551859018587597
Telomere Capping (GO:0016233),14,2,2902.5,2902.5,0.860496610163388,5802.0,0.9551859018587597
Neutrophil Mediated Immunity (GO:0002446),12,1,3394.0,3394.0,0.8605476673427996,3393.0,0.9551859018587597
Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233),51,2,2907.0,2907.0,0.8616994761559114,5811.0,0.9555460174354872
Peptidyl-Lysine Trimethylation (GO:0018023),15,2,2908.0,2908.0,0.8619660795133902,5813.0,0.9555460174354872
Ammonium Transmembrane Transport (GO:0072488),10,1,3401.0,3401.0,0.8623225152129822,3400.0,0.9555460174354872
Transepithelial Transport (GO:0070633),17,1,3401.0,3401.0,0.8623225152129822,3400.0,0.9555460174354872
Dephosphorylation (GO:0016311),147,20,2249.65,1940.5,0.8624447596471712,44783.0,0.9555460174354872
Calcium_VoltageGated,10,3,2713.0,2743.0,0.8631232014607482,8133.0,0.9557237755882403
Peptidyl-Lysine Methylation (GO:0018022),27,3,2713.3333333333335,3741.0,0.8632343779506686,8134.0,0.9557237755882403
Positive Regulation Of Neuron Projection Development (GO:0010976),92,10,2367.3,2247.0,0.8638865739473198,23618.0,0.956097417723846
Regulation Of Anoikis (GO:2000209),21,2,2919.0,2919.0,0.8648817402550236,5835.0,0.9565019027647477
Negative Regulation Of Anoikis (GO:2000811),16,2,2919.0,2919.0,0.8648817402550236,5835.0,0.9565019027647477
Regulation Of Angiogenesis (GO:0045765),205,18,2269.4444444444443,2525.5,0.8662917977008683,40679.0,0.9577126933825465
Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116),24,2,2929.0,2929.0,0.8675053333532246,5855.0,0.9587054211448148
Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),21,1,3423.0,3423.0,0.8679006085192704,3422.0,0.9587934722478341
Organonitrogen Compound Catabolic Process (GO:1901565),78,6,2499.8333333333335,3112.5,0.8682826609605687,14978.0,0.9588303297466125
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,4,2625.75,3000.5,0.8689722070706755,10493.0,0.9588303297466125
Positive Regulation Of Vasculature Development (GO:1904018),104,9,2398.4444444444443,3302.0,0.86941623922282,21541.0,0.9588303297466125
poly(A)+ mRNA Export From Nucleus (GO:0016973),21,1,3429.0,3429.0,0.8694219066937127,3428.0,0.9588303297466125
Protein K63-linked Deubiquitination (GO:0070536),33,6,2502.5,2535.0,0.8695120337234752,14994.0,0.9588303297466125
Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900015),46,4,2629.0,2563.0,0.8701981129052867,10506.0,0.9591495678462729
Protein O-linked Mannosylation (GO:0035269),16,2,2941.5,2941.5,0.8707486860171233,5880.0,0.9591495678462729
Protein Mannosylation (GO:0035268),21,2,2941.5,2941.5,0.8707486860171233,5880.0,0.9591495678462729
DNA Geometric Change (GO:0032392),30,1,3442.0,3442.0,0.8727180527383376,3441.0,0.9606222623982137
DNA Strand Elongation (GO:0022616),12,1,3442.0,3442.0,0.8727180527383376,3441.0,0.9606222623982137
Neuropeptide Signaling Pathway (GO:0007218),68,7,2471.1428571428573,2261.0,0.8739739535593929,17270.0,0.961251953699973
Peptidyl-Lysine Modification (GO:0018205),94,4,2639.5,2952.0,0.8741091941060442,10548.0,0.961251953699973
Modulation By Symbiont Of Entry Into Host (GO:0052372),21,1,3448.0,3448.0,0.8742393509127798,3447.0,0.961251953699973
Negative Regulation Of Developmental Process (GO:0051093),109,9,2411.3333333333335,2683.0,0.8764929149358864,21657.0,0.9629940100028569
Purine Nucleotide Metabolic Process (GO:0006163),34,5,2573.0,2398.0,0.8769065703911681,12850.0,0.9629940100028569
Negative Regulation Of Biomineral Tissue Development (GO:0070168),21,2,2966.5,2966.5,0.8771147575054054,5930.0,0.9629940100028569
Positive Regulation Of Angiogenesis (GO:0045766),119,11,2370.7272727272725,2806.0,0.8773148421308865,26012.0,0.9629940100028569
Inner Dynein Arm Assembly (GO:0036159),14,1,3463.0,3463.0,0.8780425963488853,3462.0,0.9629940100028569
Lung Development (GO:0030324),33,1,3463.0,3463.0,0.8780425963488853,3462.0,0.9629940100028569
Respiratory Tube Development (GO:0030323),27,1,3463.0,3463.0,0.8780425963488853,3462.0,0.9629940100028569
Positive Regulation Of Apoptotic Process (GO:0043065),270,26,2232.3076923076924,2277.5,0.8784679902082209,57689.0,0.9630560638894163
Reticulophagy (GO:0061709),16,4,2653.0,2669.0,0.8790265913921624,10602.0,0.9630560638894163
Organelle Fusion (GO:0048284),26,2,2975.5,2975.5,0.8793671893447139,5948.0,0.9630560638894163
Mitochondrial Fusion (GO:0008053),18,2,2975.5,2975.5,0.8793671893447139,5948.0,0.9630560638894163
Regulation Of Lipid Storage (GO:0010883),21,1,3472.0,3472.0,0.8803245436105485,3471.0,0.9630630044972439
Positive Regulation Of Lipid Localization (GO:1905954),10,1,3472.0,3472.0,0.8803245436105485,3471.0,0.9630630044972439
Positive Regulation Of Lipid Storage (GO:0010884),20,1,3472.0,3472.0,0.8803245436105485,3471.0,0.9630630044972439
Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),35,4,2658.75,2851.5,0.8810830985204535,10625.0,0.963545879519488
Sphingoid Biosynthetic Process (GO:0046520),13,1,3480.0,3480.0,0.8823529411764713,3479.0,0.9638936480741173
