Pathway,N_Overlap,P_Value,Effect_Size,Median_Rank,FDR
Eosinophil Chemotaxis (GO:0048245),24,0.034067861660911955,0.21500038175667824,32833.0,0.041294377770802373
Positive Regulation Of Neuron Death (GO:1901216),34,0.03418416751970556,0.18049320063672813,40478.0,0.04141689784124682
Nuclear Chromosome Segregation (GO:0098813),15,0.03423575500668583,0.27161378980701445,37417.0,0.041460932154134225
Positive Regulation Of Blood Coagulation (GO:0030194),20,0.03440943371394377,0.23493531971678105,28290.5,0.04165271904847666
COPII-coated Vesicle Budding (GO:0090114),33,0.03451689089006962,0.18276707556019134,37401.0,0.04176420961787783
Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:2000042),13,0.034685500191367104,0.2908131062755456,27234.0,0.04194956003580193
Reticulophagy (GO:0061709),13,0.03476996499541675,0.2906369301852453,33751.0,0.042033024350014915
Fc-epsilon Receptor Signaling Pathway (GO:0038095),22,0.03482743756907681,0.22333226202170087,31999.0,0.04208379839533049
T Cell Homeostasis (GO:0043029),14,0.034854754865601856,0.2798960397518496,34402.5,0.04209810534388857
Positive Regulation Of Locomotion (GO:0040017),28,0.035213890021272835,0.19742325318020726,35793.0,0.042512996386090594
DNA Modification (GO:0006304),17,0.035250374120215276,0.25328912684372695,31226.0,0.04253816220363157
Positive Regulation Of Syncytium Formation By Plasma Membrane Fusion (GO:0060143),12,0.03556801328439869,0.30078831632229686,27641.5,0.042902437309784665
Regulation Of Protein Export From Nucleus (GO:0046825),22,0.03559434989611769,0.22211639876331402,34611.5,0.04291517363361707
Positive Regulation Of Histone Methylation (GO:0031062),17,0.035663280487712626,0.2525487071944891,29856.0,0.04297923036179811
Positive Regulation Of Osteoclast Differentiation (GO:0045672),16,0.03576132628567877,0.2601398113940311,35829.0,0.04307830270019763
Midbody Abscission (GO:0061952),15,0.035916241680438325,0.2683767833077745,29814.0,0.043245762448336535
Regulation Of Vacuole Organization (GO:0044088),15,0.036053522087479514,0.26811787589704783,29409.0,0.04339184959201074
Ceramide Catabolic Process (GO:0046514),15,0.03642312716590151,0.26742480067448704,26213.0,0.0438172958386785
Positive Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904031),17,0.036440144206293615,0.25117447895310285,37841.0,0.043818387374499834
Negative Regulation Of Endothelial Cell Migration (GO:0010596),34,0.03682329042245103,0.17714903058322018,40513.5,0.04425954482945947
Establishment Of Melanosome Localization (GO:0032401),14,0.03748306872337165,0.2747848031398612,35023.5,0.04503266207048184
Regulation Of Synapse Assembly (GO:0051963),50,0.03758800989599879,0.1453235976769901,42401.5,0.04513508989057623
Positive Regulation Of Lymphocyte Migration (GO:2000403),16,0.03760151238678152,0.2568312404775893,37456.5,0.04513508989057623
Neurotrophin Signaling Pathway (GO:0038179),15,0.037794700748355566,0.26490211308279066,40477.0,0.045346972225640554
tRNA Wobble Uridine Modification (GO:0002098),11,0.037880278804980516,0.30915210295052165,30349.0,0.045429611265232366
Regulation Of DNA Strand Elongation (GO:0060382),16,0.03801458969069916,0.25610679041236395,30033.0,0.04557059672045029
Transport Along Microtubule (GO:0010970),13,0.03825847632238993,0.28364963324733894,38158.0,0.045842755769559734
Cholesterol Transport (GO:0030301),50,0.03830573272016981,0.14461354557861072,36329.5,0.04587916908800611
Long-Term Memory (GO:0007616),20,0.03849698786068922,0.22832388938128,41432.0,0.046087943213501174
Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028),17,0.03879365896117217,0.24715254753564442,36563.0,0.04642268032309208
Phosphatidylglycerol Metabolic Process (GO:0046471),19,0.038844439179820237,0.23370521745419937,36750.0,0.04646300552731356
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003),17,0.03890207072421388,0.2469721288236466,34471.0,0.04651148675598319
Late Endosome To Lysosome Transport (GO:1902774),15,0.03894758771871231,0.2628388201788453,24856.0,0.04654544753730118
Prostanoid Metabolic Process (GO:0006692),16,0.03907661795608142,0.25427325957718006,27356.5,0.04667913958741391
Negative Regulation Of Gluconeogenesis (GO:0045721),12,0.03931709733231848,0.2931308605095013,16565.5,0.04694578785948475
Positive Regulation Of Notch Signaling Pathway (GO:0045747),28,0.0395658569595011,0.19159565946706547,36936.0,0.047222084655481784
Epoxygenase P450 Pathway (GO:0019373),17,0.039692230630811697,0.24566936513701276,35852.0,0.047352134787635
Response To Amyloid-Beta (GO:1904645),43,0.03974751995808577,0.1544320030243631,39013.0,0.047397305693114115
Regulation Of Ruffle Assembly (GO:1900027),23,0.03976782025569145,0.21110861901293865,35591.0,0.04740073229425098
Zymogen Activation (GO:0031638),42,0.039938113785756395,0.15606117739690128,36124.0,0.0475828600513611
Regulation Of B Cell Receptor Signaling Pathway (GO:0050855),15,0.03995842338901413,0.26107028340403493,34563.0,0.047586213493046606
Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),17,0.04002505230499883,0.24512693745094138,36138.0,0.04764470121207738
Positive Regulation Of Morphogenesis Of An Epithelium (GO:1905332),23,0.04018847860000072,0.21052061855223725,28252.0,0.04781831224497024
Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311),16,0.040347170230354217,0.2521322731301222,40337.0,0.0479861403701633
Postsynaptic Membrane Organization (GO:0001941),17,0.04038774064950749,0.24453999086190936,31290.0,0.047996739388748925
Positive Regulation Of Small GTPase Mediated Signal Transduction (GO:0051057),17,0.04039137369884055,0.24453413311151984,23603.0,0.047996739388748925
Regulation Of Tissue Remodeling (GO:0034103),18,0.040503941862141846,0.23746944745958876,31935.0,0.04810948553057896
Import Into Cell (GO:0098657),37,0.040796564154314985,0.16532895445246043,38368.0,0.04843590331721377
Regulation Of Behavior (GO:0050795),19,0.04084952440948606,0.23061288026575233,34282.0,0.048477620590664086
Lamellipodium Assembly (GO:0030032),23,0.0408694225132508,0.209579298227079,33912.0,0.04848008252771137
Leukocyte Tethering Or Rolling (GO:0050901),17,0.040898955418630464,0.24371990580737368,38007.0,0.04849396632025931
Golgi To Vacuole Transport (GO:0006896),16,0.040973693074748366,0.25109663317433606,36839.0,0.04856141401451658
Sympathetic Nervous System Development (GO:0048485),15,0.04102180110482944,0.25924863741676796,29177.0,0.04859725566425788
NADP Metabolic Process (GO:0006739),18,0.041107029727962534,0.23653226315073173,37365.5,0.0486770225773
Regulation Of Oligodendrocyte Differentiation (GO:0048713),17,0.041231095403032644,0.24319153672223714,35684.0,0.04880268907582628
Positive Regulation Of Cation Channel Activity (GO:2001259),36,0.041346452874052225,0.16700752205876657,44086.0,0.04891794337425927
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),22,0.04149857120557985,0.2134107091932118,31570.5,0.049055242798425554
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),22,0.04149857120557985,0.2134107091932118,31570.5,0.049055242798425554
Phosphate Ion Transport (GO:0006817),19,0.04162820844484896,0.22944512988340315,35613.0,0.04918710989139408
Vesicle Cargo Loading (GO:0035459),23,0.04227299719553433,0.20767847199550382,40203.0,0.049927291520561606
Positive Regulation Of Establishment Of Protein Localization (GO:1904951),16,0.042452772361710626,0.24870171577658062,29999.5,0.050117856260352825
Response To Purine-Containing Compound (GO:0014074),24,0.0426575302484855,0.2028057456039889,37140.5,0.05033773634528441
Regulation Of cAMP-mediated Signaling (GO:0043949),17,0.04272968079878137,0.24084960811649891,33442.0,0.050401011176359645
Regulation Of Monocyte Differentiation (GO:0045655),14,0.0428441640827087,0.26520532433520494,30163.0,0.05051414230817844
cAMP-mediated Signaling (GO:0019933),24,0.04287852733645005,0.20251942809529977,39222.0,0.05053275318680422
Cyclic Nucleotide Biosynthetic Process (GO:0009190),17,0.04294458720205982,0.24051923099452888,29218.0,0.050588686526462846
Cellular Response To Fatty Acid (GO:0071398),16,0.043121402216169065,0.24764118062954965,31120.5,0.05077498442769691
Negative Regulation Of mRNA Processing (GO:0050686),15,0.04340811411690869,0.25529598427967315,31429.0,0.0510904675023763
Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),15,0.04365220995788192,0.25490164837718166,34341.0,0.0513555411269199
Positive Regulation Of Dendritic Spine Development (GO:0060999),18,0.043748284774765195,0.23255448559424896,36610.5,0.05144631845540914
Linoleic Acid Metabolic Process (GO:0043651),19,0.04386001333066748,0.22619345871100904,31807.0,0.05155541757105253
Positive Regulation Of Natural Killer Cell Mediated Immunity (GO:0002717),23,0.04422991836614906,0.20511170709783233,37033.0,0.05196776585569134
Negative Regulation Of Lymphocyte Proliferation (GO:0050672),39,0.04435514930010745,0.15740378932872812,38379.0,0.052092403323096836
Microtubule Nucleation (GO:0007020),23,0.04438410081082443,0.20491339766410543,38333.0,0.052103907727856044
Heart Trabecula Morphogenesis (GO:0061384),18,0.04460087084573228,0.23131191419065222,44886.0,0.052335793227088784
Negative Regulation Of Cation Transmembrane Transport (GO:1904063),13,0.04467779634400095,0.2720465227435672,35877.0,0.05240345237416239
Positive Regulation Of Heart Rate (GO:0010460),16,0.044750433440329467,0.24511182919907193,32862.5,0.052466025412800064
Heterotypic Cell-Cell Adhesion (GO:0034113),29,0.04496700542661349,0.1818305451688147,38673.0,0.052697223076427706
Regulation Of T Cell Migration (GO:2000404),21,0.045316396878763786,0.21320449786032958,38673.0,0.05306599171456538
Negative Regulation Of Stress Fiber Assembly (GO:0051497),24,0.04532069807093212,0.19943217843639105,35437.0,0.05306599171456538
Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),31,0.04552776959060827,0.17525812941393426,31943.0,0.05328551346232982
Digestive Tract Morphogenesis (GO:0048546),14,0.04565630507563736,0.2605635305514815,32513.5,0.05341296765838005
Positive Regulation Of Endopeptidase Activity (GO:0010950),28,0.046407382240456006,0.1834098536983737,40153.0,0.054268305973362144
Regulation Of Dendrite Extension (GO:1903859),17,0.046456137975395405,0.23530114694752624,34291.0,0.05430197477141191
Regulation Of Lipid Catabolic Process (GO:0050994),23,0.04649319994625679,0.20225483888008,31788.0,0.05432195182724161
snRNA Processing (GO:0016180),13,0.04692905422295211,0.2682962699691769,32363.0,0.05480765456695138
Dendritic Spine Organization (GO:0097061),26,0.04716684371319544,0.18945212101340414,37184.5,0.05506172313300069
Positive Regulation Of Neutrophil Chemotaxis (GO:0090023),16,0.0473895301053759,0.24116718614632393,40395.0,0.05529795018731122
Polyol Biosynthetic Process (GO:0046173),15,0.047477336473358014,0.2489427947395325,34124.0,0.05537665317647247
Negative Regulation Of Anoikis (GO:2000811),16,0.047661101810169304,0.24077135260553073,37691.0,0.055567165419485864
mRNA Methylation (GO:0080009),12,0.04768578109914347,0.27797195253505935,32742.0,0.05557211850457165
snRNA Metabolic Process (GO:0016073),17,0.04799002454656973,0.2331208922525393,30629.0,0.05590272666666796
Glutamate Metabolic Process (GO:0006536),19,0.04810266978297731,0.22036309279841837,38871.0,0.05600995796648043
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:0042771),19,0.04823972240451201,0.22018174556668912,32606.0,0.056145504895281424
Regulation Of Autophagy Of Mitochondrion (GO:1903146),18,0.04830883486212513,0.22612033358007722,40701.0,0.05620189513472213
Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903587),14,0.04849978447229491,0.2560981334668637,29044.5,0.05639992037821383
Extracellular Matrix Assembly (GO:0085029),17,0.04889098618436447,0.23186616211909983,37602.0,0.05683054804336383
DNA Unwinding Involved In DNA Replication (GO:0006268),19,0.04901798017643927,0.21915970191966005,44995.0,0.05695382574964323
Negative Regulation Of Cellular Senescence (GO:2000773),17,0.049145765044913484,0.23151469709572736,32483.0,0.05706503059865382
Sensory Perception Of Taste (GO:0050909),15,0.04915564951935511,0.24644931721468732,35951.0,0.05706503059865382
Release Of Cytochrome C From Mitochondria (GO:0001836),19,0.04932561905208729,0.21875927046000354,32451.0,0.05723791971914565
Carbohydrate Derivative Catabolic Process (GO:1901136),16,0.04951769041622014,0.23811254618057975,26443.5,0.05741590789291509
Positive Regulation Of Mitochondrial Fission (GO:0090141),16,0.049521220557639266,0.23810756714233083,33575.5,0.05741590789291509
Golgi To Endosome Transport (GO:0006895),14,0.04962164506807546,0.2543939137448592,33854.5,0.05750782896683649
Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031110),25,0.04981646869676117,0.19016213201609367,39470.0,0.057709026769672225
Cortical Actin Cytoskeleton Organization (GO:0030866),18,0.050193428937882034,0.22360310299843655,31193.5,0.058120956454252505
Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662),35,0.05025161472097089,0.1603126858599857,37454.0,0.05816357108129396
Myoblast Fusion (GO:0007520),15,0.05041700816975646,0.24461970484555173,40963.0,0.05833018384591134
Positive Regulation Of Immunoglobulin Production (GO:0002639),26,0.05045527717194127,0.18577033009714683,37069.5,0.05834964026687085
Connective Tissue Development (GO:0061448),36,0.05088594061480954,0.15748459787363778,41436.0,0.05882267678380023
Base Conversion Or Substitution Editing (GO:0016553),17,0.05125227666200451,0.22866314420609912,37082.0,0.059220982379206574
Embryonic Axis Specification (GO:0000578),15,0.051333400079857684,0.24331321821911533,42133.0,0.059279712945738354
DNA Synthesis Involved In DNA Repair (GO:0000731),23,0.05134669253682337,0.19648567972073872,34555.0,0.059279712945738354
Mitophagy (GO:0000423),13,0.051435094767912984,0.2612032673770903,30809.0,0.05935657945215245
Autophagosome Assembly (GO:0000045),59,0.05161775850314246,0.12250743038771073,40013.0,0.059542113286067636
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081),15,0.0517710369812433,0.24269582362430542,25208.0,0.05969360771046281
COPII Vesicle Coating (GO:0048208),16,0.05188519661967714,0.23483509425319404,34718.5,0.05977455942631165
"Vesicle Targeting, Rough ER To cis-Golgi (GO:0048207)",16,0.05188519661967714,0.23483509425319404,34718.5,0.05977455942631165
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),20,0.05193184151273131,0.20999034028102814,33840.5,0.059802967364364586
Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031664),19,0.051961952894762554,0.215406967297748,35900.0,0.059812319878863374
Positive Regulation Of Heart Contraction (GO:0045823),19,0.05218365189840302,0.21513127757552375,37539.0,0.06004210370713038
Regulation Of Telomere Maintenance In Response To DNA Damage (GO:1904505),15,0.05225728431741735,0.24201469797454744,30210.0,0.06010140099085632
Regulation Of Actin Cytoskeleton Reorganization (GO:2000249),22,0.05235053013101443,0.19973654787178663,37483.0,0.06018319609313577
Regulation Of Viral Transcription (GO:0046782),17,0.05267120427707223,0.22679452183183568,29095.0,0.060526267694818954
Positive Regulation Of Leukocyte Activation (GO:0002696),17,0.052946955773573265,0.22643602750799585,37669.0,0.06081744919937469
Branching Involved In Ureteric Bud Morphogenesis (GO:0001658),18,0.05379160180523613,0.2189990606027412,35311.0,0.0617615689785742
Negative Regulation Of Leukocyte Activation (GO:0002695),15,0.053835149865995635,0.2398385479941314,31202.0,0.0617854884538009
Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562),18,0.0540640749768358,0.21866047925857324,32788.0,0.06202205142850838
Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404),21,0.054187835497550074,0.20230128380223977,39077.0,0.062137821481170405
Organelle Transport Along Microtubule (GO:0072384),30,0.05422297671656669,0.1692312288983836,39723.0,0.062151916000447276
Melanosome Localization (GO:0032400),16,0.054377899613329936,0.2315103414624431,37642.0,0.06230323797314972
Positive Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902993),20,0.054710929610513166,0.20668412718961926,37354.5,0.06265841201709298
Response To Hexose (GO:0009746),22,0.055112006793949585,0.19662310502324443,37616.0,0.06309118622876383
Maturation Of LSU-rRNA (GO:0000470),19,0.05526704009480573,0.2113900737024501,37763.0,0.0632420484046578
Regulation Of Response To Cytokine Stimulus (GO:0060759),13,0.055439468502944955,0.2553036663010374,36829.0,0.06341268054163594
Homotypic Cell-Cell Adhesion (GO:0034109),45,0.056634754620386904,0.1363318015601066,39000.0,0.06475264084382193
Activation Of NF-kappaB-inducing Kinase Activity (GO:0007250),15,0.056744552602570116,0.23595493683323043,42770.0,0.06485091726008013
Positive Regulation Of Hormone Secretion (GO:0046887),19,0.057190133675527985,0.20913948117919723,31651.0,0.06531998490193058
Endocytic Recycling (GO:0032456),54,0.05720301618985245,0.12406815230998613,42752.5,0.06531998490193058
Ureteric Bud Morphogenesis (GO:0060675),18,0.057466431338203804,0.21454217937951092,30755.5,0.06558988230655878
Muscle Cell Differentiation (GO:0042692),32,0.057487602727513284,0.1608989841143369,42460.0,0.06558988230655878
Translesion Synthesis (GO:0019985),19,0.05761441176104078,0.20865099672841203,35652.0,0.06570700209225616
Response To Transforming Growth Factor Beta (GO:0071559),38,0.05781688774439205,0.14738823672494117,44564.0,0.06591028275974282
Purine Ribonucleoside Triphosphate Metabolic Process (GO:0009205),32,0.0580453409261263,0.1604066032568099,39709.0,0.06614299426856453
ncRNA Catabolic Process (GO:0034661),29,0.058251020979939054,0.1683071001348979,37332.0,0.06634957163544147
Regulation Of Establishment Or Maintenance Of Cell Polarity (GO:0032878),14,0.05846419823173873,0.2419351855935109,30827.5,0.06656451200934674
Regulation Of Mitochondrial Membrane Potential (GO:0051881),34,0.058726957121318236,0.15503989510507943,45135.5,0.06680783901175195
Mesenchyme Morphogenesis (GO:0072132),18,0.058727037895992255,0.2130650352799548,39459.5,0.06680783901175195
Positive Regulation Of Transcription Regulatory Region DNA Binding (GO:2000679),18,0.05941971362796126,0.21226394739375354,38647.0,0.0675431346869089
Homologous Chromosome Segregation (GO:0045143),12,0.059423059303593005,0.2599568500539374,31343.5,0.0675431346869089
Negative Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031111),29,0.059502028865109635,0.16716417705417075,43262.0,0.06760464432460243
Toll-Like Receptor Signaling Pathway (GO:0002224),30,0.05952912765641318,0.16433117212943316,39244.0,0.06760719299600997
Negative Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000378),19,0.05980124762669012,0.20617712697765445,37428.0,0.06788789379991533
Negative Regulation Of Nervous System Development (GO:0051961),17,0.06037107448822864,0.2172967653502349,40968.0,0.06850618381642967
Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702),35,0.06058418386801567,0.15128099326422073,39965.0,0.06871934116805781
Endoplasmic Reticulum Calcium Ion Homeostasis (GO:0032469),18,0.06065607931108662,0.21085208531807287,40445.0,0.06877221164074848
Positive Regulation Of Glial Cell Differentiation (GO:0045687),16,0.06122734571995118,0.22295635375070955,34044.5,0.06939099181594467
Negative Regulation Of Epithelial Cell Migration (GO:0010633),31,0.06127167492948051,0.16015043439763588,41328.0,0.06941230979099833
Dendritic Cell Migration (GO:0036336),18,0.06179643499674435,0.20956968081516225,34205.0,0.06997764495884456
Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),14,0.06213442949920125,0.2371980806901094,36160.5,0.070310789092543
Regulation Of Plasminogen Activation (GO:0010755),14,0.06214232977149756,0.23718812281193413,30704.0,0.070310789092543
Superoxide Metabolic Process (GO:0006801),32,0.062212740333057286,0.1568404212937603,36232.0,0.07036118657210637
Positive Regulation Of Interleukin-4 Production (GO:0032753),17,0.06281514723946394,0.21448153051302177,37897.0,0.07101296778526264
Transcription By RNA Polymerase III (GO:0006383),25,0.06296357764172165,0.17673425486993588,46078.0,0.07115119700269336
Glycosphingolipid Metabolic Process (GO:0006687),30,0.06301368500090312,0.16129685513294223,31999.5,0.07117824883822944
Positive Regulation Of Collagen Biosynthetic Process (GO:0032967),12,0.06342681930839025,0.2544552319309601,26692.5,0.07158545581693838
Positive Regulation Of Collagen Metabolic Process (GO:0010714),12,0.06342681930839025,0.2544552319309601,26692.5,0.07158545581693838
Female Gamete Generation (GO:0007292),24,0.06420826667833451,0.17920073430067152,36066.5,0.07239979669101884
Activation Of Protein Kinase B Activity (GO:0032148),24,0.06421180400537832,0.17919741467738237,37603.0,0.07239979669101884
Response To Acidic pH (GO:0010447),16,0.06422820199096635,0.21944364226605984,28517.5,0.07239979669101884
Negative Regulation Of Notch Signaling Pathway (GO:0045746),23,0.0645800793515178,0.18269841118638397,37446.0,0.0727662865932595
Regulation Of Cholesterol Biosynthetic Process (GO:0045540),15,0.0649967797485193,0.225731413435303,38376.0,0.07320548278094101
Negative Regulation Of Biomineral Tissue Development (GO:0070168),21,0.06573486122516398,0.1900531882606452,36654.0,0.07400613515415812
Negative Regulation Of Interleukin-10 Production (GO:0032693),15,0.06616564524894772,0.2243665066751641,34563.0,0.07446030412790144
Regulation Of Mitochondrion Organization (GO:0010821),45,0.06636057413629318,0.1294268688961493,42133.0,0.07464878480178555
Cellular Response To Glucocorticoid Stimulus (GO:0071385),17,0.06655957065903076,0.21032955703691558,29947.0,0.07482788210951648
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.06657480687684922,0.18488002064161002,46547.5,0.07482788210951648
Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176),16,0.06705381538988549,0.21625083398890665,33817.5,0.07533514161936743
Positive Regulation Of Nervous System Process (GO:0031646),14,0.06735637738023047,0.23082077099583054,40110.0,0.07564382595963125
Regulation Of Plasma Membrane Bounded Cell Projection Organization (GO:0120035),28,0.06749350559192181,0.163111445616002,33523.0,0.07576654362774549
Positive Regulation Of Response To Wounding (GO:1903036),26,0.06782139996503533,0.1689831714729385,38664.5,0.07610322108287793
Positive Regulation Of Fatty Acid Metabolic Process (GO:0045923),17,0.06791852178504247,0.20886746253968624,31807.0,0.07618077495064557
Modified Amino Acid Transport (GO:0072337),28,0.06794742023139626,0.16273299348521686,37514.0,0.07618177371368418
Oogenesis (GO:0048477),10,0.0680569922940694,0.2721280133828552,33921.5,0.07627318460645602
Sterol Transport (GO:0015918),25,0.06834869604929003,0.17186551408198225,39246.0,0.07656855570595918
Regulation Of Glucose Transmembrane Transport (GO:0010827),14,0.06865763543346039,0.22929152541890663,36667.0,0.07688298410004621
Regulation Of Postsynapse Organization (GO:0099175),24,0.06879131954615839,0.17501385942723224,30021.0,0.07700098319569992
Potassium Ion Homeostasis (GO:0055075),23,0.07048209819042946,0.1772548605295814,36595.0,0.0788610888843966
Positive Regulation Of Insulin Secretion (GO:0032024),38,0.0710804408061581,0.1374982241907421,41662.0,0.07949786142793996
Cell Projection Organization (GO:0030030),19,0.07113746539291617,0.19437802616641386,34091.0,0.07950928288215814
Pyroptosis (GO:0070269),26,0.07114911563793122,0.16616015867093936,36504.5,0.07950928288215814
Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236),13,0.07150448948926143,0.2345531867956786,35540.0,0.07987359811531461
Phosphatidylserine Metabolic Process (GO:0006658),20,0.07157281360685032,0.18904468366909988,40827.0,0.07991709893704141
Positive Regulation Of Dendrite Extension (GO:1903861),16,0.07219820518619367,0.2106954720626164,38334.5,0.08058232175069625
Regulation Of Necroptotic Process (GO:0060544),18,0.07311353392816797,0.19774588916882707,32555.5,0.0815704726351997
Regulation Of Cartilage Development (GO:0061035),16,0.07319582459386914,0.20965360830901902,26101.5,0.08160196087564264
Vesicle Transport Along Microtubule (GO:0047496),20,0.07320175902079708,0.187518049732615,40529.0,0.08160196087564264
Regulation Of Bicellular Tight Junction Assembly (GO:2000810),15,0.07367903619919472,0.21601109982540345,44276.0,0.0821003598778409
Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060314),23,0.07390714927670627,0.17425510560193846,44508.0,0.08232082147118798
Response To Fibroblast Growth Factor (GO:0071774),19,0.0748364081809371,0.19084332752253474,31672.0,0.08332174795421568
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",22,0.07503361734161855,0.17718558889698655,36348.0,0.08350713550294699
Cell Morphogenesis Involved In Differentiation (GO:0000904),24,0.07623484569862143,0.16865014158193325,38883.5,0.08479484934781134
Positive Regulation Of Endothelial Cell Apoptotic Process (GO:2000353),13,0.076253015259098,0.22911777141841672,31803.0,0.08479484934781134
Embryonic Digestive Tract Development (GO:0048566),19,0.07666599207071138,0.18914411444373047,40748.0,0.08521924741819982
Intracellular Estrogen Receptor Signaling Pathway (GO:0030520),17,0.07691676317963791,0.1997153133310683,39448.0,0.08546307019959769
Endocardial Cushion Development (GO:0003197),23,0.07707988752414184,0.17156970143605477,44149.0,0.0856093483322441
Endosome Transport Via Multivesicular Body Sorting Pathway (GO:0032509),21,0.07858136856691009,0.17825275425657838,35652.0,0.08724135612326345
Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971),21,0.07887876415006562,0.17799762511760597,37383.0,0.08753579701680068
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),35,0.07953205614056374,0.13745372175283932,41162.0,0.08822479310861883
Negative Regulation Of Interleukin-2 Production (GO:0032703),21,0.07965999793954515,0.17733087498861877,42857.0,0.08833069482085723
Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),15,0.07977485272984874,0.20969906992491683,34125.0,0.08842200465574107
Regulation Of Neuron Migration (GO:2001222),25,0.07986165988633648,0.1623726247858822,42589.0,0.0884821649249838
Placenta Development (GO:0001890),21,0.08006791893332549,0.17698469604540346,40698.0,0.08866396857323029
ERK1 And ERK2 Cascade (GO:0070371),23,0.08011716982782219,0.16907654484347845,30435.0,0.08866396857323029
Regulation Of Isotype Switching (GO:0045191),10,0.08012354218860296,0.25639320103159513,38190.0,0.08866396857323029
Regulation Of Amyloid Fibril Formation (GO:1905906),15,0.08024624911903289,0.20922639793405162,39225.0,0.08876364278315146
Presynapse Assembly (GO:0099054),15,0.08028474192214335,0.20918789375502045,33386.0,0.08877012114968696
Regulation Of Dephosphorylation (GO:0035303),14,0.08065149744443478,0.21614997133553637,38086.5,0.08913940392070809
Regulation Of Neuroinflammatory Response (GO:0150077),19,0.08118557550770372,0.18507480835371304,38673.0,0.0896932434528652
Cardiac Atrium Morphogenesis (GO:0003209),18,0.08223668388689254,0.1891983699410581,39674.5,0.0908176127374534
Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460),21,0.08254065062163174,0.17491426143433797,37962.0,0.0911163026342688
Mitochondrial RNA Metabolic Process (GO:0000959),13,0.08377494452573253,0.22101213929860464,36459.0,0.09244131809736003
Muscle Tissue Morphogenesis (GO:0060415),16,0.08393090774061207,0.1990743967895161,40066.0,0.0925758593083799
Negative Regulation Of Fibroblast Proliferation (GO:0048147),17,0.08447929243982338,0.19263446466019185,37489.0,0.09314295720969583
Regulation Of Natural Killer Cell Activation (GO:0032814),16,0.08485850084180863,0.19820928889375733,35079.5,0.09352314517411647
Pharyngeal System Development (GO:0060037),16,0.08498320561513889,0.19809352625446863,35558.5,0.09362264855130732
rRNA Catabolic Process (GO:0016075),18,0.08517420637648482,0.18659926021082773,38416.5,0.09379507746722215
Negative Regulation Of Interleukin-1 Production (GO:0032692),26,0.08537098962031081,0.15512321282605412,38696.0,0.09397373199807585
Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway (GO:0032510),14,0.08570149157631912,0.21105865047989858,36950.0,0.09429937584449354
Regulation Of Synapse Organization (GO:0050807),25,0.08605132601644211,0.15769270605106955,38381.0,0.09464601971885263
Neuromuscular Process (GO:0050905),17,0.08648597054114959,0.19083613529060295,39129.0,0.09508562646399632
Regulation Of Calcium Ion Transmembrane Transport (GO:1903169),19,0.08663547540041971,0.18038913132579504,39820.0,0.09519543906702303
Diacylglycerol Metabolic Process (GO:0046339),23,0.08665584820954009,0.16394214906807558,36750.0,0.09519543906702303
